"","long","lat","order","hole","piece","regione","group"
"76",13.37368114,41.88502233,76,FALSE,"1","Abruzzo","Abruzzo.1"
"77",13.37984104,41.89458833,77,FALSE,"1","Abruzzo","Abruzzo.1"
"78",13.38400313,41.90415433,78,FALSE,"1","Abruzzo","Abruzzo.1"
"79",13.37834269,41.91173259,79,FALSE,"1","Abruzzo","Abruzzo.1"
"80",13.36668882,41.91993202,80,FALSE,"1","Abruzzo","Abruzzo.1"
"81",13.36452454,41.92477713,81,FALSE,"1","Abruzzo","Abruzzo.1"
"82",13.35653331,41.925771,82,FALSE,"1","Abruzzo","Abruzzo.1"
"83",13.35004045,41.92105012,83,FALSE,"1","Abruzzo","Abruzzo.1"
"84",13.33755417,41.92601947,84,FALSE,"1","Abruzzo","Abruzzo.1"
"85",13.33389152,41.9338462,85,FALSE,"1","Abruzzo","Abruzzo.1"
"86",13.32556734,41.94192139,86,FALSE,"1","Abruzzo","Abruzzo.1"
"87",13.32273711,41.94515147,87,FALSE,"1","Abruzzo","Abruzzo.1"
"88",13.31025083,41.95161163,88,FALSE,"1","Abruzzo","Abruzzo.1"
"89",13.298264,41.95434477,89,FALSE,"1","Abruzzo","Abruzzo.1"
"90",13.29626619,41.94863002,90,FALSE,"1","Abruzzo","Abruzzo.1"
"91",13.28611069,41.95036929,91,FALSE,"1","Abruzzo","Abruzzo.1"
"92",13.26996176,41.96142609,92,FALSE,"1","Abruzzo","Abruzzo.1"
"93",13.26679857,41.96614698,93,FALSE,"1","Abruzzo","Abruzzo.1"
"94",13.26047219,41.96875589,94,FALSE,"1","Abruzzo","Abruzzo.1"
"95",13.24282491,41.97148903,95,FALSE,"1","Abruzzo","Abruzzo.1"
"96",13.23433424,41.97695531,96,FALSE,"1","Abruzzo","Abruzzo.1"
"97",13.23150401,41.9816762,97,FALSE,"1","Abruzzo","Abruzzo.1"
"98",13.21602102,41.98676978,98,FALSE,"1","Abruzzo","Abruzzo.1"
"99",13.19903968,41.98652131,99,FALSE,"1","Abruzzo","Abruzzo.1"
"100",13.18255779,41.99472074,100,FALSE,"1","Abruzzo","Abruzzo.1"
"101",13.17406712,41.99608731,101,FALSE,"1","Abruzzo","Abruzzo.1"
"102",13.16524348,42.00018703,102,FALSE,"1","Abruzzo","Abruzzo.1"
"103",13.14876159,42.01136807,103,FALSE,"1","Abruzzo","Abruzzo.1"
"104",13.13993795,42.01546778,104,FALSE,"1","Abruzzo","Abruzzo.1"
"105",13.12328957,42.01820092,105,FALSE,"1","Abruzzo","Abruzzo.1"
"106",13.1076401,42.02503378,106,FALSE,"1","Abruzzo","Abruzzo.1"
"107",13.09715162,42.02478531,107,FALSE,"1","Abruzzo","Abruzzo.1"
"108",13.0963192,42.01944326,108,FALSE,"1","Abruzzo","Abruzzo.1"
"109",13.10131372,42.00975303,109,FALSE,"1","Abruzzo","Abruzzo.1"
"110",13.08999282,42.00900763,110,FALSE,"1","Abruzzo","Abruzzo.1"
"111",13.07883841,42.00913186,111,FALSE,"1","Abruzzo","Abruzzo.1"
"112",13.06485377,42.01248617,112,FALSE,"1","Abruzzo","Abruzzo.1"
"113",13.05802794,42.01559202,113,FALSE,"1","Abruzzo","Abruzzo.1"
"114",13.04937078,42.02354298,114,FALSE,"1","Abruzzo","Abruzzo.1"
"115",13.0482054,42.02963043,115,FALSE,"1","Abruzzo","Abruzzo.1"
"116",13.04654056,42.03534518,116,FALSE,"1","Abruzzo","Abruzzo.1"
"117",13.02656251,42.05000477,117,FALSE,"1","Abruzzo","Abruzzo.1"
"118",13.02489767,42.06354625,118,FALSE,"1","Abruzzo","Abruzzo.1"
"119",13.0184048,42.07485152,119,FALSE,"1","Abruzzo","Abruzzo.1"
"120",13.01923722,42.07907547,120,FALSE,"1","Abruzzo","Abruzzo.1"
"121",13.02406525,42.09224425,121,FALSE,"1","Abruzzo","Abruzzo.1"
"122",13.02523064,42.09547433,122,FALSE,"1","Abruzzo","Abruzzo.1"
"123",13.03288889,42.1071523,123,FALSE,"1","Abruzzo","Abruzzo.1"
"124",13.03055812,42.11535173,124,FALSE,"1","Abruzzo","Abruzzo.1"
"125",13.0307246,42.12218459,125,FALSE,"1","Abruzzo","Abruzzo.1"
"126",13.03705099,42.11895451,126,FALSE,"1","Abruzzo","Abruzzo.1"
"127",13.05969278,42.12292999,127,FALSE,"1","Abruzzo","Abruzzo.1"
"128",13.07301148,42.13187482,128,FALSE,"1","Abruzzo","Abruzzo.1"
"129",13.0768406,42.13895615,129,FALSE,"1","Abruzzo","Abruzzo.1"
"130",13.08616369,42.1442982,130,FALSE,"1","Abruzzo","Abruzzo.1"
"131",13.09382195,42.15933048,131,FALSE,"1","Abruzzo","Abruzzo.1"
"132",13.09348898,42.16641181,132,FALSE,"1","Abruzzo","Abruzzo.1"
"133",13.08682963,42.17324467,133,FALSE,"1","Abruzzo","Abruzzo.1"
"134",13.0871626,42.17784132,134,FALSE,"1","Abruzzo","Abruzzo.1"
"135",13.11246813,42.17510817,135,FALSE,"1","Abruzzo","Abruzzo.1"
"136",13.12229067,42.17709591,136,FALSE,"1","Abruzzo","Abruzzo.1"
"137",13.13677476,42.16852378,137,FALSE,"1","Abruzzo","Abruzzo.1"
"138",13.15825116,42.15759121,138,FALSE,"1","Abruzzo","Abruzzo.1"
"139",13.16790722,42.15411267,139,FALSE,"1","Abruzzo","Abruzzo.1"
"140",13.16973854,42.15075835,140,FALSE,"1","Abruzzo","Abruzzo.1"
"141",13.17806273,42.15336726,141,FALSE,"1","Abruzzo","Abruzzo.1"
"142",13.18322372,42.15895778,142,FALSE,"1","Abruzzo","Abruzzo.1"
"143",13.1927133,42.15833661,143,FALSE,"1","Abruzzo","Abruzzo.1"
"144",13.20569903,42.14839791,144,FALSE,"1","Abruzzo","Abruzzo.1"
"145",13.21352377,42.1450436,145,FALSE,"1","Abruzzo","Abruzzo.1"
"146",13.22334631,42.14330433,146,FALSE,"1","Abruzzo","Abruzzo.1"
"147",13.23566611,42.13224752,147,FALSE,"1","Abruzzo","Abruzzo.1"
"148",13.23733095,42.12914168,148,FALSE,"1","Abruzzo","Abruzzo.1"
"149",13.24881832,42.12752664,149,FALSE,"1","Abruzzo","Abruzzo.1"
"150",13.26496725,42.13671994,150,FALSE,"1","Abruzzo","Abruzzo.1"
"151",13.27512276,42.13771381,151,FALSE,"1","Abruzzo","Abruzzo.1"
"152",13.2849453,42.13423526,152,FALSE,"1","Abruzzo","Abruzzo.1"
"153",13.30525632,42.13821074,153,FALSE,"1","Abruzzo","Abruzzo.1"
"154",13.3095849,42.14690711,154,FALSE,"1","Abruzzo","Abruzzo.1"
"155",13.31757612,42.15373997,155,FALSE,"1","Abruzzo","Abruzzo.1"
"156",13.32307008,42.15224916,156,FALSE,"1","Abruzzo","Abruzzo.1"
"157",13.32873053,42.1549823,157,FALSE,"1","Abruzzo","Abruzzo.1"
"158",13.32323656,42.16131822,158,FALSE,"1","Abruzzo","Abruzzo.1"
"159",13.33355856,42.16678451,159,FALSE,"1","Abruzzo","Abruzzo.1"
"160",13.34487945,42.16479677,160,FALSE,"1","Abruzzo","Abruzzo.1"
"161",13.35453551,42.16728145,161,FALSE,"1","Abruzzo","Abruzzo.1"
"162",13.3423822,42.17684745,162,FALSE,"1","Abruzzo","Abruzzo.1"
"163",13.35403606,42.17498394,163,FALSE,"1","Abruzzo","Abruzzo.1"
"164",13.36535695,42.17958059,164,FALSE,"1","Abruzzo","Abruzzo.1"
"165",13.37984104,42.18045023,165,FALSE,"1","Abruzzo","Abruzzo.1"
"166",13.37434708,42.18715885,166,FALSE,"1","Abruzzo","Abruzzo.1"
"167",13.37168334,42.18864965,167,FALSE,"1","Abruzzo","Abruzzo.1"
"168",13.35220474,42.19125856,168,FALSE,"1","Abruzzo","Abruzzo.1"
"169",13.34138329,42.19833989,169,FALSE,"1","Abruzzo","Abruzzo.1"
"170",13.33189372,42.20815436,170,FALSE,"1","Abruzzo","Abruzzo.1"
"171",13.34088384,42.21734765,171,FALSE,"1","Abruzzo","Abruzzo.1"
"172",13.33555636,42.222317,172,FALSE,"1","Abruzzo","Abruzzo.1"
"173",13.32706569,42.22368358,173,FALSE,"1","Abruzzo","Abruzzo.1"
"174",13.31990689,42.2296468,174,FALSE,"1","Abruzzo","Abruzzo.1"
"175",13.29976235,42.23064067,175,FALSE,"1","Abruzzo","Abruzzo.1"
"176",13.29193762,42.23237994,176,FALSE,"1","Abruzzo","Abruzzo.1"
"177",13.28211508,42.23722506,177,FALSE,"1","Abruzzo","Abruzzo.1"
"178",13.27429034,42.24443062,178,FALSE,"1","Abruzzo","Abruzzo.1"
"179",13.27545573,42.24815763,179,FALSE,"1","Abruzzo","Abruzzo.1"
"180",13.27129363,42.25412085,180,FALSE,"1","Abruzzo","Abruzzo.1"
"181",13.25664306,42.26480495,181,FALSE,"1","Abruzzo","Abruzzo.1"
"182",13.24265843,42.26890467,182,FALSE,"1","Abruzzo","Abruzzo.1"
"183",13.2346672,42.2778495,183,FALSE,"1","Abruzzo","Abruzzo.1"
"184",13.22900676,42.28716703,184,FALSE,"1","Abruzzo","Abruzzo.1"
"185",13.22800785,42.29263332,185,FALSE,"1","Abruzzo","Abruzzo.1"
"186",13.2265095,42.31934358,186,FALSE,"1","Abruzzo","Abruzzo.1"
"187",13.22068257,42.31934358,187,FALSE,"1","Abruzzo","Abruzzo.1"
"188",13.20220287,42.33114578,188,FALSE,"1","Abruzzo","Abruzzo.1"
"189",13.19138143,42.33238812,189,FALSE,"1","Abruzzo","Abruzzo.1"
"190",13.18305724,42.34046332,190,FALSE,"1","Abruzzo","Abruzzo.1"
"191",13.17173634,42.34878698,191,FALSE,"1","Abruzzo","Abruzzo.1"
"192",13.15725226,42.35425327,192,FALSE,"1","Abruzzo","Abruzzo.1"
"193",13.15342313,42.35698641,193,FALSE,"1","Abruzzo","Abruzzo.1"
"194",13.16957206,42.37003095,194,FALSE,"1","Abruzzo","Abruzzo.1"
"195",13.18938362,42.38108776,195,FALSE,"1","Abruzzo","Abruzzo.1"
"196",13.19421165,42.38928719,196,FALSE,"1","Abruzzo","Abruzzo.1"
"197",13.18921714,42.40021976,197,FALSE,"1","Abruzzo","Abruzzo.1"
"198",13.17623141,42.40630721,198,FALSE,"1","Abruzzo","Abruzzo.1"
"199",13.16957206,42.40717685,199,FALSE,"1","Abruzzo","Abruzzo.1"
"200",13.15525445,42.41425818,200,FALSE,"1","Abruzzo","Abruzzo.1"
"201",13.14193575,42.42904199,201,FALSE,"1","Abruzzo","Abruzzo.1"
"202",13.12445496,42.4412169,202,FALSE,"1","Abruzzo","Abruzzo.1"
"203",13.11613077,42.44395005,203,FALSE,"1","Abruzzo","Abruzzo.1"
"204",13.13344508,42.45836116,204,FALSE,"1","Abruzzo","Abruzzo.1"
"205",13.14526543,42.46208818,205,FALSE,"1","Abruzzo","Abruzzo.1"
"206",13.15408907,42.46233664,206,FALSE,"1","Abruzzo","Abruzzo.1"
"207",13.1783957,42.47923244,207,FALSE,"1","Abruzzo","Abruzzo.1"
"208",13.17156986,42.48606529,208,FALSE,"1","Abruzzo","Abruzzo.1"
"209",13.17739679,42.5078062,209,FALSE,"1","Abruzzo","Abruzzo.1"
"210",13.17772976,42.51265132,210,FALSE,"1","Abruzzo","Abruzzo.1"
"211",13.1670748,42.51612986,211,FALSE,"1","Abruzzo","Abruzzo.1"
"212",13.16058193,42.52196885,212,FALSE,"1","Abruzzo","Abruzzo.1"
"213",13.15741874,42.5276836,213,FALSE,"1","Abruzzo","Abruzzo.1"
"214",13.1557539,42.53998275,214,FALSE,"1","Abruzzo","Abruzzo.1"
"215",13.16224677,42.53874041,215,FALSE,"1","Abruzzo","Abruzzo.1"
"216",13.1670748,42.54147355,216,FALSE,"1","Abruzzo","Abruzzo.1"
"217",13.17606492,42.55265459,217,FALSE,"1","Abruzzo","Abruzzo.1"
"218",13.1742336,42.56743841,218,FALSE,"1","Abruzzo","Abruzzo.1"
"219",13.19221385,42.57799828,219,FALSE,"1","Abruzzo","Abruzzo.1"
"220",13.19138143,42.58756428,220,FALSE,"1","Abruzzo","Abruzzo.1"
"221",13.20303529,42.58594924,221,FALSE,"1","Abruzzo","Abruzzo.1"
"222",13.21235838,42.5824707,222,FALSE,"1","Abruzzo","Abruzzo.1"
"223",13.22684247,42.5828434,223,FALSE,"1","Abruzzo","Abruzzo.1"
"224",13.23566611,42.57489244,224,FALSE,"1","Abruzzo","Abruzzo.1"
"225",13.2459881,42.57265623,225,FALSE,"1","Abruzzo","Abruzzo.1"
"226",13.25347987,42.57973755,226,FALSE,"1","Abruzzo","Abruzzo.1"
"227",13.26147109,42.58309186,227,FALSE,"1","Abruzzo","Abruzzo.1"
"228",13.27828595,42.58346457,228,FALSE,"1","Abruzzo","Abruzzo.1"
"229",13.28427936,42.58222223,229,FALSE,"1","Abruzzo","Abruzzo.1"
"230",13.29127168,42.57054425,230,FALSE,"1","Abruzzo","Abruzzo.1"
"231",13.2972651,42.57104119,231,FALSE,"1","Abruzzo","Abruzzo.1"
"232",13.31191567,42.5740228,232,FALSE,"1","Abruzzo","Abruzzo.1"
"233",13.32706569,42.57998602,233,FALSE,"1","Abruzzo","Abruzzo.1"
"234",13.34288165,42.57489244,234,FALSE,"1","Abruzzo","Abruzzo.1"
"235",13.36086189,42.57861945,235,FALSE,"1","Abruzzo","Abruzzo.1"
"236",13.38183885,42.58097989,236,FALSE,"1","Abruzzo","Abruzzo.1"
"237",13.38350368,42.58570077,237,FALSE,"1","Abruzzo","Abruzzo.1"
"238",13.39399216,42.59129129,238,FALSE,"1","Abruzzo","Abruzzo.1"
"239",13.39099545,42.59340327,239,FALSE,"1","Abruzzo","Abruzzo.1"
"240",13.38899765,42.6016027,240,FALSE,"1","Abruzzo","Abruzzo.1"
"241",13.39032952,42.60843555,241,FALSE,"1","Abruzzo","Abruzzo.1"
"242",13.39698887,42.61564111,242,FALSE,"1","Abruzzo","Abruzzo.1"
"243",13.3946581,42.62172857,243,FALSE,"1","Abruzzo","Abruzzo.1"
"244",13.40631196,42.62880989,244,FALSE,"1","Abruzzo","Abruzzo.1"
"245",13.40964163,42.63899706,245,FALSE,"1","Abruzzo","Abruzzo.1"
"246",13.40814328,42.64284831,246,FALSE,"1","Abruzzo","Abruzzo.1"
"247",13.39349271,42.64607838,247,FALSE,"1","Abruzzo","Abruzzo.1"
"248",13.38183885,42.6498054,248,FALSE,"1","Abruzzo","Abruzzo.1"
"249",13.37667785,42.64992963,249,FALSE,"1","Abruzzo","Abruzzo.1"
"250",13.36985202,42.64906,250,FALSE,"1","Abruzzo","Abruzzo.1"
"251",13.3576987,42.66334688,251,FALSE,"1","Abruzzo","Abruzzo.1"
"252",13.34970748,42.66868893,252,FALSE,"1","Abruzzo","Abruzzo.1"
"253",13.34854209,42.67340981,253,FALSE,"1","Abruzzo","Abruzzo.1"
"254",13.35087287,42.68235464,254,FALSE,"1","Abruzzo","Abruzzo.1"
"255",13.35786518,42.69403262,255,FALSE,"1","Abruzzo","Abruzzo.1"
"256",13.35886409,42.69577189,256,FALSE,"1","Abruzzo","Abruzzo.1"
"257",13.36419157,42.69303875,257,FALSE,"1","Abruzzo","Abruzzo.1"
"258",13.38083994,42.69067831,258,FALSE,"1","Abruzzo","Abruzzo.1"
"259",13.38883116,42.687324,259,FALSE,"1","Abruzzo","Abruzzo.1"
"260",13.40081799,42.69142371,260,FALSE,"1","Abruzzo","Abruzzo.1"
"261",13.4274554,42.706456,261,FALSE,"1","Abruzzo","Abruzzo.1"
"262",13.43711145,42.69887774,262,FALSE,"1","Abruzzo","Abruzzo.1"
"263",13.44094058,42.70248052,263,FALSE,"1","Abruzzo","Abruzzo.1"
"264",13.43777739,42.70707716,264,FALSE,"1","Abruzzo","Abruzzo.1"
"265",13.43727794,42.71502813,265,FALSE,"1","Abruzzo","Abruzzo.1"
"266",13.44127355,42.72620916,266,FALSE,"1","Abruzzo","Abruzzo.1"
"267",13.45209499,42.73391166,267,FALSE,"1","Abruzzo","Abruzzo.1"
"268",13.4632494,42.73490553,268,FALSE,"1","Abruzzo","Abruzzo.1"
"269",13.47973129,42.73229662,269,FALSE,"1","Abruzzo","Abruzzo.1"
"270",13.48872142,42.73366319,270,FALSE,"1","Abruzzo","Abruzzo.1"
"271",13.49338296,42.7366448,271,FALSE,"1","Abruzzo","Abruzzo.1"
"272",13.50420441,42.74708044,272,FALSE,"1","Abruzzo","Abruzzo.1"
"273",13.50403792,42.75726761,273,FALSE,"1","Abruzzo","Abruzzo.1"
"274",13.50187363,42.76285813,274,FALSE,"1","Abruzzo","Abruzzo.1"
"275",13.50237309,42.77093332,275,FALSE,"1","Abruzzo","Abruzzo.1"
"276",13.50520331,42.77552997,276,FALSE,"1","Abruzzo","Abruzzo.1"
"277",13.5155253,42.78608984,277,FALSE,"1","Abruzzo","Abruzzo.1"
"278",13.52901049,42.79540737,278,FALSE,"1","Abruzzo","Abruzzo.1"
"279",13.53167423,42.80099789,279,FALSE,"1","Abruzzo","Abruzzo.1"
"280",13.53250665,42.81217893,280,FALSE,"1","Abruzzo","Abruzzo.1"
"281",13.53450445,42.81665135,281,FALSE,"1","Abruzzo","Abruzzo.1"
"282",13.54366106,42.81702405,282,FALSE,"1","Abruzzo","Abruzzo.1"
"283",13.55514844,42.8043522,283,FALSE,"1","Abruzzo","Abruzzo.1"
"284",13.57146384,42.80050096,284,FALSE,"1","Abruzzo","Abruzzo.1"
"285",13.57462704,42.80074942,285,FALSE,"1","Abruzzo","Abruzzo.1"
"286",13.58994354,42.80646418,286,FALSE,"1","Abruzzo","Abruzzo.1"
"287",13.60143092,42.80633994,287,FALSE,"1","Abruzzo","Abruzzo.1"
"288",13.61857875,42.81342127,288,FALSE,"1","Abruzzo","Abruzzo.1"
"289",13.62440568,42.81652711,289,FALSE,"1","Abruzzo","Abruzzo.1"
"290",13.62806832,42.80807922,290,FALSE,"1","Abruzzo","Abruzzo.1"
"291",13.63556009,42.8032341,291,FALSE,"1","Abruzzo","Abruzzo.1"
"292",13.6437178,42.80373104,292,FALSE,"1","Abruzzo","Abruzzo.1"
"293",13.66369585,42.80708535,293,FALSE,"1","Abruzzo","Abruzzo.1"
"294",13.66552717,42.81019119,294,FALSE,"1","Abruzzo","Abruzzo.1"
"295",13.67634861,42.81516054,295,FALSE,"1","Abruzzo","Abruzzo.1"
"296",13.6866706,42.81826639,296,FALSE,"1","Abruzzo","Abruzzo.1"
"297",13.69932337,42.82261457,297,FALSE,"1","Abruzzo","Abruzzo.1"
"298",13.71097723,42.84336161,298,FALSE,"1","Abruzzo","Abruzzo.1"
"299",13.70664866,42.84932483,299,FALSE,"1","Abruzzo","Abruzzo.1"
"300",13.72213164,42.85454265,300,FALSE,"1","Abruzzo","Abruzzo.1"
"301",13.72479538,42.85566075,301,FALSE,"1","Abruzzo","Abruzzo.1"
"302",13.74177673,42.85578498,302,FALSE,"1","Abruzzo","Abruzzo.1"
"303",13.75409653,42.85864236,303,FALSE,"1","Abruzzo","Abruzzo.1"
"304",13.76292016,42.85864236,304,FALSE,"1","Abruzzo","Abruzzo.1"
"305",13.76941303,42.85889083,305,FALSE,"1","Abruzzo","Abruzzo.1"
"306",13.77990151,42.8610028,306,FALSE,"1","Abruzzo","Abruzzo.1"
"307",13.79921362,42.86671756,307,FALSE,"1","Abruzzo","Abruzzo.1"
"308",13.81269881,42.87417158,308,FALSE,"1","Abruzzo","Abruzzo.1"
"309",13.81619497,42.87752589,309,FALSE,"1","Abruzzo","Abruzzo.1"
"310",13.83101202,42.88125291,310,FALSE,"1","Abruzzo","Abruzzo.1"
"311",13.83467466,42.88174984,311,FALSE,"1","Abruzzo","Abruzzo.1"
"312",13.84266588,42.88411028,312,FALSE,"1","Abruzzo","Abruzzo.1"
"313",13.85515217,42.88398605,313,FALSE,"1","Abruzzo","Abruzzo.1"
"314",13.87479725,42.88883117,314,FALSE,"1","Abruzzo","Abruzzo.1"
"315",13.87762747,42.89305511,315,FALSE,"1","Abruzzo","Abruzzo.1"
"316",13.88378737,42.89193701,316,FALSE,"1","Abruzzo","Abruzzo.1"
"317",13.88944782,42.89119161,317,FALSE,"1","Abruzzo","Abruzzo.1"
"318",13.90459784,42.89467015,318,FALSE,"1","Abruzzo","Abruzzo.1"
"319",13.91675116,42.89454592,319,FALSE,"1","Abruzzo","Abruzzo.1"
"320",13.91974786,42.89230971,320,FALSE,"1","Abruzzo","Abruzzo.1"
"321",13.92107973,42.88373758,321,FALSE,"1","Abruzzo","Abruzzo.1"
"322",13.92940392,42.8495733,322,FALSE,"1","Abruzzo","Abruzzo.1"
"323",13.93306656,42.83801956,323,FALSE,"1","Abruzzo","Abruzzo.1"
"324",13.94039185,42.81429091,324,FALSE,"1","Abruzzo","Abruzzo.1"
"325",13.94388801,42.80484914,325,FALSE,"1","Abruzzo","Abruzzo.1"
"326",13.9552089,42.78161742,326,FALSE,"1","Abruzzo","Abruzzo.1"
"327",13.96103584,42.76981522,327,FALSE,"1","Abruzzo","Abruzzo.1"
"328",13.9716908,42.75316789,328,FALSE,"1","Abruzzo","Abruzzo.1"
"329",13.9746875,42.75130439,329,FALSE,"1","Abruzzo","Abruzzo.1"
"330",13.98034795,42.73987488,330,FALSE,"1","Abruzzo","Abruzzo.1"
"331",13.98384411,42.73142698,331,FALSE,"1","Abruzzo","Abruzzo.1"
"332",13.99583094,42.70844374,332,FALSE,"1","Abruzzo","Abruzzo.1"
